player_id,team_id,team_abbreviation,drives,drive_fgm,drive_fga,drive_fg_pct,drive_ftm,drive_fta,drive_ft_pct,drive_pts,drive_pts_pct,drive_passes,drive_passes_pct,drive_ast,drive_ast_pct,drive_tov,drive_tov_pct,drive_pf,drive_pf_pct,season
201985,1610612750,MIN,16,3,4,0.75,0,0,0.0,6,0.375,9,0.563,2,0.125,1,0.063,0,0.0,2013-14
201166,1610612743,DEN,521,81,216,0.375,33,38,0.868,196,0.376,186,0.357,53,0.102,30,0.058,19,0.036,2013-14
201189,1610612758,SAC,2,0,1,0.0,0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,2013-14
203519,1610612755,PHI,2,0,1,0.0,0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,2013-14
1733,1610612764,WAS,89,18,45,0.4,16,18,0.889,52,0.584,22,0.247,3,0.034,5,0.056,9,0.101,2013-14
201143,1610612737,ATL,43,11,20,0.55,7,10,0.7,29,0.674,9,0.209,2,0.047,4,0.093,5,0.116,2013-14
2744,1610612766,CHA,39,10,26,0.385,2,2,1.0,22,0.564,8,0.205,1,0.026,2,0.051,1,0.026,2013-14
202329,1610612740,NOP,174,31,75,0.413,26,36,0.722,87,0.5,46,0.264,13,0.075,20,0.115,18,0.103,2013-14
101187,1610612751,BKN,233,46,100,0.46,36,48,0.75,130,0.558,60,0.258,14,0.06,25,0.107,24,0.103,2013-14
202692,1610612762,UTA,560,129,282,0.457,92,122,0.754,367,0.655,142,0.254,30,0.054,35,0.063,61,0.109,2013-14
203458,1610612756,PHX,4,0,1,0.0,0,0,0.0,0,0.0,0,0.0,1,0.25,2,0.5,0,0.0,2013-14
203144,1610612750,MIN,202,18,62,0.29,30,38,0.789,72,0.356,80,0.396,24,0.119,14,0.069,19,0.094,2013-14
201582,1610612740,NOP,28,5,16,0.313,4,4,1.0,15,0.536,6,0.214,2,0.071,2,0.071,2,0.071,2013-14
203459,1610612757,POR,7,0,1,0.0,0,0,0.0,0,0.0,5,0.714,0,0.0,0,0.0,0,0.0,2013-14
202087,1610612739,CLE,144,24,62,0.387,9,12,0.75,57,0.396,45,0.313,10,0.069,17,0.118,6,0.042,2013-14
2405,1610612752,NYK,37,15,23,0.652,8,12,0.667,40,1.081,3,0.081,1,0.027,3,0.081,6,0.162,2013-14
101161,1610612761,TOR,90,18,42,0.429,12,16,0.75,48,0.533,25,0.278,4,0.044,7,0.078,8,0.089,2013-14
2760,1610612739,CLE,102,23,44,0.523,12,18,0.667,59,0.578,31,0.304,12,0.118,3,0.029,9,0.088,2013-14
101154,1610612751,BKN,176,39,80,0.488,48,66,0.727,130,0.739,32,0.182,15,0.085,11,0.063,33,0.188,2013-14
203083,1610612765,DET,21,4,4,1.0,11,14,0.786,20,0.952,8,0.381,0,0.0,2,0.095,7,0.333,2013-14
2738,1610612744,GSW,212,20,56,0.357,16,20,0.8,57,0.269,86,0.406,33,0.156,17,0.08,11,0.052,2013-14
1889,1610612764,WAS,215,42,98,0.429,13,16,0.813,99,0.46,74,0.344,21,0.098,7,0.033,9,0.042,2013-14
203460,1610612760,OKC,17,1,6,0.167,3,4,0.75,5,0.294,3,0.176,3,0.176,3,0.176,2,0.118,2013-14
200745,1610612752,NYK,114,28,64,0.438,20,22,0.909,81,0.711,21,0.184,2,0.018,13,0.114,11,0.096,2013-14
1905,1610612751,BKN,67,10,24,0.417,10,22,0.455,30,0.448,12,0.179,7,0.104,9,0.134,11,0.164,2013-14
101106,1610612744,GSW,35,8,16,0.5,0,0,0.0,16,0.457,13,0.371,3,0.086,3,0.086,0,0.0,2013-14
101115,1610612754,IND,4,1,3,0.333,0,0,0.0,2,0.5,0,0.0,0,0.0,1,0.25,0,0.0,2013-14
203094,1610612753,ORL,17,8,13,0.615,2,2,1.0,19,1.118,0,0.0,0,0.0,2,0.118,1,0.059,2013-14
2740,1610612762,UTA,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2013-14
1712,1610612746,LAC,13,4,9,0.444,4,4,1.0,12,0.923,2,0.154,0,0.0,0,0.0,2,0.154,2013-14
203461,1610612739,CLE,28,6,10,0.6,7,10,0.7,19,0.679,5,0.179,0,0.0,8,0.286,5,0.179,2013-14
203076,1610612740,NOP,168,43,100,0.43,60,80,0.75,150,0.893,17,0.101,3,0.018,8,0.048,40,0.238,2013-14
201627,1610612740,NOP,149,40,101,0.396,10,12,0.833,91,0.611,25,0.168,8,0.054,6,0.04,6,0.04,2013-14
201576,1610612743,DEN,43,8,16,0.5,15,18,0.833,31,0.721,10,0.233,3,0.07,5,0.116,9,0.209,2013-14
201229,1610612766,CHA,29,7,15,0.467,4,4,1.0,19,0.655,10,0.345,1,0.034,1,0.034,2,0.069,2013-14
203462,1610612756,PHX,102,27,58,0.466,10,18,0.556,70,0.686,15,0.147,5,0.049,13,0.127,10,0.098,2013-14
202620,1610612739,CLE,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2013-14
203102,1610612755,PHI,1,0,0,0.0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,2013-14
203382,1610612759,SAS,7,3,3,1.0,4,4,1.0,10,1.429,1,0.143,0,0.0,0,0.0,2,0.286,2013-14
201167,1610612753,ORL,363,57,135,0.422,70,82,0.854,193,0.532,123,0.339,27,0.074,29,0.08,42,0.116,2013-14
201948,1610612759,SAS,25,2,9,0.222,2,3,0.667,7,0.28,9,0.36,2,0.08,3,0.12,2,0.08,2013-14
203085,1610612740,NOP,487,106,253,0.419,60,104,0.577,284,0.583,114,0.234,32,0.066,29,0.06,52,0.107,2013-14
202340,1610612738,BOS,168,37,89,0.416,16,22,0.727,95,0.565,44,0.262,8,0.048,11,0.065,11,0.065,2013-14
2732,1610612766,CHA,46,9,21,0.429,5,6,0.833,23,0.5,12,0.261,4,0.087,4,0.087,4,0.087,2013-14
203463,1610612758,SAC,189,24,91,0.264,29,32,0.906,80,0.423,48,0.254,13,0.069,17,0.09,16,0.085,2013-14
2757,1610612763,MEM,171,23,51,0.451,14,20,0.7,61,0.357,67,0.392,26,0.152,15,0.088,10,0.058,2013-14
203108,1610612742,DAL,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2013-14
202687,1610612766,CHA,12,1,2,0.5,1,2,0.5,3,0.25,7,0.583,0,0.0,1,0.083,1,0.083,2013-14
201933,1610612746,LAC,183,41,78,0.526,53,68,0.779,138,0.754,46,0.251,8,0.044,9,0.049,35,0.191,2013-14
2564,1610612759,SAS,240,56,101,0.554,15,20,0.75,129,0.538,70,0.292,28,0.117,21,0.088,10,0.042,2013-14
203078,1610612764,WAS,334,52,132,0.394,34,44,0.773,140,0.419,123,0.368,33,0.099,22,0.066,22,0.066,2013-14
201148,1610612742,DAL,22,8,11,0.727,4,4,1.0,20,0.909,8,0.364,0,0.0,1,0.045,2,0.091,2013-14
101138,1610612738,BOS,125,23,60,0.383,19,24,0.792,67,0.536,31,0.248,9,0.072,10,0.08,13,0.104,2013-14
203561,1610612755,PHI,16,2,7,0.286,5,8,0.625,9,0.563,3,0.188,1,0.063,1,0.063,4,0.25,2013-14
201943,1610612765,DET,733,103,285,0.361,71,101,0.703,286,0.39,249,0.34,96,0.131,44,0.06,50,0.068,2013-14
202688,1610612749,MIL,747,141,311,0.453,87,108,0.806,379,0.507,245,0.328,62,0.083,49,0.066,57,0.076,2013-14
201575,1610612762,UTA,31,7,16,0.438,1,2,0.5,17,0.548,7,0.226,2,0.065,5,0.161,1,0.032,2013-14
203148,1610612740,NOP,400,73,168,0.435,45,48,0.938,195,0.488,122,0.305,48,0.12,30,0.075,24,0.06,2013-14
201572,1610612751,BKN,11,6,8,0.75,3,4,0.75,16,1.455,0,0.0,0,0.0,0,0.0,2,0.182,2013-14
201957,1610612755,PHI,5,0,2,0.0,0,2,0.0,0,0.0,1,0.2,0,0.0,1,0.2,1,0.2,2013-14
201228,1610612754,IND,137,16,45,0.356,18,22,0.818,50,0.365,49,0.358,21,0.153,10,0.073,11,0.08,2013-14
203468,1610612757,POR,87,20,44,0.455,4,8,0.5,45,0.517,16,0.184,7,0.08,11,0.126,5,0.057,2013-14
101139,1610612739,CLE,101,24,58,0.414,13,15,0.867,66,0.653,24,0.238,2,0.02,7,0.069,8,0.079,2013-14
201171,1610612758,SAC,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2013-14
2430,1610612741,CHI,94,33,66,0.5,10,16,0.625,76,0.809,9,0.096,3,0.032,7,0.074,8,0.085,2013-14
2546,1610612752,NYK,394,85,183,0.464,106,120,0.883,287,0.728,85,0.216,22,0.056,36,0.091,60,0.152,2013-14
2406,1610612760,OKC,71,14,40,0.35,2,2,1.0,31,0.437,16,0.225,4,0.056,7,0.099,1,0.014,2013-14
203467,1610612739,CLE,2,0,1,0.0,0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,2013-14
201858,1610612737,ATL,45,4,21,0.19,13,16,0.813,22,0.489,5,0.111,2,0.044,8,0.178,8,0.178,2013-14
203810,1610612755,PHI,21,6,10,0.6,3,4,0.75,15,0.714,8,0.381,1,0.048,0,0.0,2,0.095,2013-14
202718,1610612745,HOU,617,140,283,0.495,38,56,0.679,327,0.53,199,0.323,57,0.092,34,0.055,28,0.045,2013-14
101112,1610612756,PHX,63,16,37,0.432,3,4,0.75,35,0.556,14,0.222,2,0.032,6,0.095,2,0.032,2013-14
101111,1610612765,DET,14,5,9,0.556,3,4,0.75,13,0.929,3,0.214,0,0.0,0,0.0,2,0.143,2013-14
201978,1610612750,MIN,64,11,27,0.407,11,12,0.917,34,0.531,16,0.25,4,0.063,8,0.125,6,0.094,2013-14
1497,1610612765,DET,59,2,11,0.182,3,4,0.75,7,0.119,29,0.492,10,0.169,6,0.102,2,0.034,2013-14
2365,1610612748,MIA,10,2,3,0.667,3,4,0.75,7,0.7,3,0.3,0,0.0,2,0.2,2,0.2,2013-14
203569,1610612738,BOS,2,1,1,1.0,0,0,0.0,2,1.0,1,0.5,0,0.0,0,0.0,0,0.0,2013-14
2547,1610612748,MIA,168,37,83,0.446,55,66,0.833,135,0.804,30,0.179,2,0.012,15,0.089,33,0.196,2013-14
203142,1610612754,IND,48,13,24,0.542,6,8,0.75,32,0.667,10,0.208,4,0.083,4,0.083,4,0.083,2013-14
201604,1610612766,CHA,103,20,44,0.455,19,22,0.864,63,0.612,34,0.33,4,0.039,7,0.068,11,0.107,2013-14
203187,1610612738,BOS,37,3,11,0.273,10,10,1.0,17,0.459,13,0.351,3,0.081,3,0.081,5,0.135,2013-14
2549,1610612747,LAL,52,12,24,0.5,5,8,0.625,29,0.558,13,0.25,4,0.077,6,0.115,4,0.077,2013-14
101108,1610612746,LAC,775,151,293,0.515,56,70,0.8,365,0.471,283,0.365,105,0.135,40,0.052,37,0.048,2013-14
202698,1610612764,WAS,22,2,9,0.222,6,9,0.667,11,0.5,5,0.227,2,0.091,1,0.045,5,0.227,2013-14
203147,1610612752,NYK,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2013-14
202874,1610612749,MIL,16,1,7,0.143,3,6,0.5,5,0.313,5,0.313,0,0.0,1,0.063,3,0.188,2013-14
101236,1610612761,TOR,9,3,6,0.5,0,0,0.0,6,0.667,1,0.111,0,0.0,2,0.222,0,0.0,2013-14
203469,1610612766,CHA,181,34,92,0.37,38,54,0.704,110,0.608,37,0.204,8,0.044,14,0.077,27,0.149,2013-14
202332,1610612752,NYK,1,1,1,1.0,0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0,2013-14
201147,1610612750,MIN,223,56,127,0.441,23,32,0.719,140,0.628,46,0.206,13,0.058,18,0.081,16,0.072,2013-14
202709,1610612759,SAS,202,37,79,0.468,35,40,0.875,111,0.55,74,0.366,20,0.099,6,0.03,20,0.099,2013-14
201584,1610612763,MEM,204,51,107,0.477,28,28,1.0,130,0.637,55,0.27,10,0.049,16,0.078,14,0.069,2013-14
201571,1610612741,CHI,565,71,182,0.39,28,36,0.778,176,0.312,259,0.458,68,0.12,28,0.05,19,0.034,2013-14
203474,1610612749,MIL,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2013-14
201591,1610612766,CHA,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2013-14
203081,1610612757,POR,877,159,395,0.403,162,192,0.844,491,0.56,252,0.287,74,0.084,38,0.043,100,0.114,2013-14
202345,1610612759,SAS,5,0,1,0.0,0,0,0.0,0,0.0,3,0.6,1,0.2,0,0.0,0,0.0,2013-14
202350,1610612755,PHI,4,0,1,0.0,0,0,0.0,0,0.0,3,0.75,0,0.0,0,0.0,0,0.0,2013-14
